Time,Capacity
2021-06-15 2:20:04,5
2021-06-15 2:25:06,4
2021-06-15 2:30:08,4
2021-06-15 2:35:03,3
2021-06-15 2:40:03,3
2021-06-15 2:45:03,1
2021-06-15 2:50:02,1
2021-06-15 2:55:02,1
2021-06-15 3:00:02,1
2021-06-15 3:05:04,1
2021-06-15 3:10:08,1
2021-06-15 3:15:07,1
2021-06-15 3:20:07,1
2021-06-15 3:25:07,2
2021-06-15 3:30:07,2
2021-06-15 3:35:08,2
2021-06-15 3:40:04,2
2021-06-15 3:45:06,2
2021-06-15 3:50:08,2
2021-06-15 3:55:06,2
2021-06-15 4:00:06,2
2021-06-15 4:05:07,3
2021-06-15 4:10:05,3
2021-06-15 4:15:05,3
2021-06-15 4:20:05,3
2021-06-15 4:25:02,3
2021-06-15 4:30:02,4
2021-06-15 4:35:07,5
2021-06-15 4:40:07,6
2021-06-15 4:45:06,7
2021-06-15 4:50:03,7
2021-06-15 4:55:05,8
2021-06-15 5:00:03,11
2021-06-15 5:05:12,13
2021-06-15 5:10:07,15
2021-06-15 5:15:05,17
2021-06-15 5:20:04,17
2021-06-15 5:25:04,18
2021-06-15 5:30:03,21
2021-06-15 5:35:03,20
2021-06-15 5:40:04,23
2021-06-15 5:45:06,23
2021-06-15 5:50:07,26
2021-06-15 5:55:07,28
2021-06-15 6:00:06,27
2021-06-15 6:05:07,28
2021-06-15 6:10:03,30
2021-06-15 6:15:03,32
2021-06-15 6:20:03,31
2021-06-15 6:25:02,34
2021-06-15 6:30:04,39
2021-06-15 6:35:07,37
2021-06-15 6:40:07,38
2021-06-15 6:45:04,39
2021-06-15 6:50:06,39
2021-06-15 6:55:04,40
2021-06-15 7:00:04,39
2021-06-15 7:05:04,39
2021-06-15 7:10:06,35
2021-06-15 7:15:03,36
2021-06-15 7:20:03,37
2021-06-15 7:25:02,35
2021-06-15 7:30:03,38
2021-06-15 7:35:07,36
2021-06-15 7:40:07,35
2021-06-15 7:45:03,35
2021-06-15 7:50:04,35
2021-06-15 7:55:04,33
2021-06-15 8:00:06,31
2021-06-15 8:05:04,28
2021-06-15 8:10:07,27
2021-06-15 8:15:05,28
2021-06-15 8:20:08,27
2021-06-15 8:25:05,27
2021-06-15 8:30:05,27
2021-06-15 8:35:06,28
2021-06-15 8:40:04,28
2021-06-15 8:45:04,28
2021-06-15 8:50:03,26
2021-06-15 8:55:04,26
2021-06-15 9:00:04,27
2021-06-15 9:05:05,27
2021-06-15 9:10:05,26
2021-06-15 9:15:04,28
2021-06-15 9:20:05,30
2021-06-15 9:25:04,34
2021-06-15 9:30:04,37
2021-06-15 9:35:08,40
2021-06-15 9:40:05,39
2021-06-15 9:45:04,39
2021-06-15 9:50:05,39
2021-06-15 9:55:05,37
2021-06-15 10:00:08,35
2021-06-15 10:05:07,35
2021-06-15 10:10:07,33
2021-06-15 10:15:04,32
2021-06-15 10:20:07,34
2021-06-15 10:25:07,35
2021-06-15 10:30:16,36
2021-06-15 10:35:08,32
2021-06-15 10:40:09,29
2021-06-15 10:45:06,28
2021-06-15 10:50:05,28
2021-06-15 10:55:05,27
2021-06-15 11:00:07,25
2021-06-15 11:05:07,26
2021-06-15 11:10:06,26
2021-06-15 11:15:04,28
2021-06-15 11:20:07,29
2021-06-15 11:25:04,30
2021-06-15 11:30:03,31
2021-06-15 11:35:08,29
2021-06-15 11:40:08,32
2021-06-15 11:45:08,33
2021-06-15 11:50:08,36
2021-06-15 11:55:05,38
2021-06-15 12:00:04,39
2021-06-15 12:05:04,38
2021-06-15 12:10:07,40
2021-06-15 12:15:04,38
2021-06-15 12:20:03,39
2021-06-15 12:25:05,38
2021-06-15 12:30:04,38
2021-06-15 12:35:07,40
2021-06-15 12:40:05,39
2021-06-15 12:45:07,37
2021-06-15 12:50:04,37
2021-06-15 12:55:03,34
2021-06-15 13:00:04,34
2021-06-15 13:05:05,34
2021-06-15 13:10:05,29
2021-06-15 13:15:04,28
2021-06-15 13:20:03,25
2021-06-15 13:25:03,25
2021-06-15 13:30:04,24
2021-06-15 13:35:07,27
2021-06-15 13:40:07,24
2021-06-15 13:45:04,23
2021-06-15 13:50:05,22
2021-06-15 13:55:04,20
2021-06-15 14:00:05,20
2021-06-15 14:05:04,22
2021-06-15 14:10:04,22
2021-06-15 14:15:04,21
2021-06-15 14:20:04,22
2021-06-15 14:25:05,22
2021-06-15 14:30:05,23
2021-06-15 14:35:06,25
2021-06-15 14:40:06,26
2021-06-15 14:45:05,25
2021-06-15 14:50:05,28
2021-06-15 14:55:06,29
2021-06-15 15:00:06,28
2021-06-15 15:05:04,27
2021-06-15 15:10:04,28
2021-06-15 15:15:07,28
2021-06-15 15:20:07,29
2021-06-15 15:25:07,28
2021-06-15 15:30:06,28
2021-06-15 15:35:07,32
2021-06-15 15:40:06,30
2021-06-15 15:45:05,31
2021-06-15 15:50:06,33
2021-06-15 15:55:04,35
2021-06-15 16:00:03,34
2021-06-15 16:05:04,32
2021-06-15 16:10:07,31
2021-06-15 16:15:05,29
2021-06-15 16:20:04,32
2021-06-15 16:25:05,32
2021-06-15 16:30:04,32
2021-06-15 16:35:06,31
2021-06-15 16:40:05,30
2021-06-15 16:45:06,32
2021-06-15 16:50:06,30
2021-06-15 16:55:07,31
2021-06-15 17:00:08,32
2021-06-15 17:05:09,35
2021-06-15 17:10:09,35
2021-06-15 17:15:07,36
2021-06-15 17:20:07,40
2021-06-15 17:25:10,42
2021-06-15 17:30:07,41
2021-06-15 17:35:06,44
2021-06-15 17:40:07,45
2021-06-15 17:45:06,45
2021-06-15 17:50:07,48
2021-06-15 17:55:09,49
2021-06-15 18:00:08,47
2021-06-15 18:05:06,48
2021-06-15 18:10:04,49
2021-06-15 18:15:02,48
2021-06-15 18:20:03,49
2021-06-15 18:25:07,54
2021-06-15 18:30:07,59
2021-06-15 18:35:07,62
2021-06-15 18:40:07,60
2021-06-15 18:45:16,58
2021-06-15 18:50:10,60
2021-06-15 18:55:09,60
2021-06-15 19:00:12,63
2021-06-15 19:05:08,67
2021-06-15 19:10:08,70
2021-06-15 19:15:10,70
2021-06-15 19:20:08,72
2021-06-15 19:25:08,69
2021-06-15 19:30:08,69
2021-06-15 19:35:08,66
2021-06-15 19:40:06,67
2021-06-15 19:45:06,66
2021-06-15 19:50:14,64
2021-06-15 19:55:08,65
2021-06-15 20:00:11,60
2021-06-15 20:05:09,59
2021-06-15 20:10:09,63
2021-06-15 20:15:06,59
2021-06-15 20:20:02,53
2021-06-15 20:25:02,52
2021-06-15 20:30:02,50
2021-06-15 20:35:07,43
2021-06-15 20:40:06,41
2021-06-15 20:45:05,41
2021-06-15 20:50:04,37
2021-06-15 20:55:06,36
2021-06-15 21:00:06,36
2021-06-15 21:05:04,36
2021-06-15 21:10:06,38
2021-06-15 21:15:06,36
2021-06-15 21:20:04,35
2021-06-15 21:25:07,34
2021-06-15 21:30:05,33
2021-06-15 21:35:05,31
2021-06-15 21:40:05,28
2021-06-15 21:45:05,25
2021-06-15 21:50:05,26
2021-06-15 21:55:03,22
2021-06-15 22:00:02,21
2021-06-15 22:05:03,21
2021-06-15 22:10:07,20
2021-06-15 22:15:05,22
2021-06-15 22:20:04,24
2021-06-15 22:25:05,24
2021-06-15 22:30:05,24
2021-06-15 22:35:06,24
2021-06-15 22:40:04,23
2021-06-15 22:45:07,21
2021-06-15 22:50:06,20
2021-06-15 22:55:06,20
2021-06-15 23:00:05,19
2021-06-15 23:05:06,20
2021-06-15 23:10:05,20
2021-06-15 23:15:05,20
2021-06-15 23:20:06,18
2021-06-15 23:25:04,18
2021-06-15 23:30:04,17
2021-06-15 23:35:05,18
2021-06-15 23:40:05,18
2021-06-15 23:45:04,19
2021-06-15 23:50:04,18
2021-06-15 23:55:04,18
2021-06-16 0:00:07,13
2021-06-16 0:05:06,13
2021-06-16 0:10:06,13
2021-06-16 0:15:03,14
2021-06-16 0:20:03,13
2021-06-16 0:25:05,14
2021-06-16 0:30:03,14
2021-06-16 0:35:02,13
2021-06-16 0:40:04,13
2021-06-16 0:45:05,13
2021-06-16 0:50:02,10
2021-06-16 0:55:02,10
2021-06-16 1:00:08,9
2021-06-16 1:05:07,7
2021-06-16 1:10:08,4
